PassengerID,Name,FlightID,Status
29,P29,10,Regular
35,P35,6,Regular
38,P38,9,Regular
69,P69,10,Regular
47,P47,8,Regular
53,P53,4,Regular
43,P43,4,VIP
36,P36,7,Regular
77,P77,8,Regular
26,P26,7,Regular
44,P44,5,Regular
11,P11,2,Regular
93,P93,4,Regular
91,P91,2,Regular
19,P19,10,VIP
79,P79,10,VIP
4,P4,5,Regular
59,P59,10,Regular
83,P83,4,Regular
94,P94,5,Regular
23,P23,4,Regular
85,P85,6,Regular
67,P67,8,Regular
42,P42,3,VIP
63,P63,4,Regular
54,P54,5,Regular
40,P40,1,VIP
80,P80,1,VIP
18,P18,9,VIP
24,P24,5,VIP
64,P64,5,Regular
46,P46,7,Regular
75,P75,6,VIP
22,P22,3,Regular
66,P66,7,VIP
7,P7,8,Regular
13,P13,4,Regular
37,P37,8,Regular
31,P31,2,Regular
65,P65,6,Regular
27,P27,8,Regular
32,P32,3,Regular
9,P9,10,Regular
48,P48,9,Regular
51,P51,2,Regular
33,P33,4,Regular
95,P95,6,Regular
92,P92,3,Regular
12,P12,3,VIP
82,P82,3,Regular
5,P5,6,Regular
89,P89,10,VIP
17,P17,8,Regular
41,P41,2,VIP
55,P55,6,Regular
81,P81,2,VIP
73,P73,4,Regular
3,P3,4,Regular
56,P56,7,Regular
60,P60,1,Regular
99,P99,10,Regular
57,P57,8,Regular
88,P88,9,Regular
45,P45,6,Regular
96,P96,7,Regular
30,P30,1,Regular
72,P72,3,VIP
61,P61,2,Regular
84,P84,5,Regular
71,P71,2,Regular
68,P68,9,Regular
15,P15,6,Regular
52,P52,3,VIP
86,P86,7,Regular
100,P100,1,Regular
74,P74,5,Regular
21,P21,2,Regular
70,P70,1,Regular
10,P10,1,Regular
78,P78,9,Regular
58,P58,9,VIP
76,P76,7,Regular
50,P50,1,VIP
16,P16,7,Regular
14,P14,5,Regular
39,P39,10,Regular
34,P34,5,VIP
49,P49,10,Regular
2,P2,3,Regular
97,P97,8,Regular
6,P6,7,VIP
8,P8,9,Regular
90,P90,1,Regular
62,P62,3,Regular
25,P25,6,Regular
1,P1,2,VIP
87,P87,8,Regular
20,P20,1,Regular
28,P28,9,Regular
98,P98,9,Regular
